ALL,AML,Breast,Colon,,,,,,,,
75,106,107,96,,ANOVA - Single Factor,,,,,,
149,49,194,25,,,,,,,,
153,89,195,132,,Groups,Count,Sum,Mean,Variance,,
83,1,169,107,,Column 1,336,28836,85.8214285714,3666.9769722814,,
3,119,129,102,,Column 2,336,35330,105.1488095238,3200.4136105188,,
114,161,6,96,,Column 3,336,12409,36.931547619,3691.2161958067,,
7,75,50,182,,Column 4,336,22329,66.4553571429,4381.6875533049,,
112,89,162,155,,,,,,,,
113,181,129,53,,Source of Variation,SS,df,MS,F,P-value,F critical
89,125,195,108,,Between Groups,#NAME?,3,#NAME?,#NAME?,#NAME?,2.6115433341
91,135,131,99,,Within Groups,5004998.60119048,1340,3735.073582978,,,
175,80,181,84,,Total,Err:508,1343,,,,
99,126,196,28,,,,,,,,
7,58,18,197,,,,,,,,
101,138,70,94,,,,,,,,
182,77,125,24,,,,,,,,
38,155,77,8,,ANOVA - Single Factor,,,,,,
128,199,76,181,,,,,,,,
191,166,192,165,,Groups,Count,Sum,Mean,Variance,,
65,138,186,46,,Column 1,336,28836,85.8214285714,3666.9769722814,,
142,127,55,18,,Column 2,336,35330,105.1488095238,3200.4136105188,,
147,163,51,50,,Column 3,336,12409,36.931547619,3691.2161958067,,
35,152,50,53,,Column 4,336,22329,66.4553571429,4381.6875533049,,
128,108,88,107,,,,,,,,
137,25,130,118,,Source of Variation,SS,df,MS,F,P-value,F critical
136,94,197,134,,Between Groups,Err:508,3,Err:508,Err:508,Err:508,2.6115433341
153,8,63,183,,Within Groups,5004998.60119048,1340,3735.073582978,,,
113,182,24,65,,Total,Err:508,1343,,,,
120,71,190,66,,,,,,,,
70,196,108,171,,,,,,,,
111,148,121,98,,,,,,,,
19,114,143,56,,,,,,,,
98,116,43,101,,,,,,,,
189,158,32,93,,,,,,,,
110,115,90,109,,,,,,,,
102,94,30,156,,,,,,,,
20,125,95,121,,,,,,,,
144,28,130,175,,,,,,,,
131,151,139,198,,,,,,,,
50,12,59,26,,,,,,,,
114,80,81,66,,,,,,,,
88,35,4,126,,,,,,,,
125,60,102,43,,,,,,,,
9,51,177,65,,,,,,,,
182,115,116,163,,,,,,,,
44,115,5,110,,,,,,,,
149,189,133,119,,,,,,,,
58,154,73,121,,,,,,,,
10,43,184,3,,,,,,,,
32,114,47,95,,,,,,,,
199,58,120,105,,,,,,,,
159,190,30,156,,,,,,,,
29,152,109,64,,,,,,,,
72,24,55,153,,,,,,,,
166,42,127,45,,,,,,,,
7,175,136,200,,,,,,,,
102,160,140,65,,,,,,,,
126,147,9,192,,,,,,,,
92,136,52,81,,,,,,,,
18,60,104,117,,,,,,,,
139,177,18,81,,,,,,,,
178,58,157,1,,,,,,,,
85,17,121,152,,,,,,,,
66,183,91,193,,,,,,,,
147,146,28,186,,,,,,,,
48,158,81,105,,,,,,,,
62,94,124,105,,,,,,,,
6,86,77,168,,,,,,,,
7,189,53,142,,,,,,,,
128,165,117,166,,,,,,,,
104,104,13,119,,,,,,,,
61,39,148,150,,,,,,,,
158,73,6,109,,,,,,,,
113,125,53,142,,,,,,,,
67,25,181,131,,,,,,,,
86,127,179,161,,,,,,,,
42,133,73,67,,,,,,,,
10,70,161,25,,,,,,,,
4,183,164,195,,,,,,,,
118,82,40,58,,,,,,,,
25,29,193,18,,,,,,,,
96,177,71,50,,,,,,,,
172,10,88,140,,,,,,,,
64,97,119,185,,,,,,,,
63,80,200,125,,,,,,,,
1,26,98,135,,,,,,,,
104,185,102,61,,,,,,,,
193,155,23,163,,,,,,,,
76,132,18,78,,,,,,,,
9,171,12,173,,,,,,,,
194,10,82,31,,,,,,,,
152,99,84,179,,,,,,,,
95,165,190,80,,,,,,,,
14,103,100,187,,,,,,,,
170,100,74,4,,,,,,,,
19,64,6,77,,,,,,,,
113,158,147,156,,,,,,,,
64,90,94,78,,,,,,,,
28,111,173,188,,,,,,,,
44,63,65,118,,,,,,,,
184,187,185,149,,,,,,,,
153,35,67,139,,,,,,,,
