UID,p_id,exp
0000198293,00000765,188
0000397177,00000765,41
0000498845,00000765,75
0000794927,00000765,79
0000822095,00000765,187
0000843355,00000765,167
0000920984,00000765,175
0001030083,00000765,94
0001059822,00000765,181
0001060306,00000765,168
0001089862,00000765,99
0001191120,00000765,105
0001229871,00000765,1
0001230575,00000765,27
0001305056,00000765,29
0001433276,00000765,197
0001590879,00000765,90
0001787254,00000765,185
0001951345,00000765,159
0002025957,00000765,106
0002188085,00000765,133
0002382734,00000765,172
0002402828,00000765,96
0002542951,00000765,86
0002563504,00000765,96
0002616922,00000765,159
0002666790,00000765,153
0002885618,00000765,12
0002988848,00000765,166
0003111704,00000765,80
0003128902,00000765,51
0003168802,00000765,130
0003422575,00000765,158
0003940328,00000765,161
0003955938,00000765,110
0004083265,00000765,186
0004088685,00000765,180
0004205491,00000765,120
0004268103,00000765,96
0004292631,00000765,149
0004334533,00000765,197
0004515800,00000765,5
0004520595,00000765,60
0004613917,00000765,154
0004826120,00000765,1
0004879924,00000765,62
0004909256,00000765,135
0005020458,00000765,3
0005080512,00000765,174
0005502754,00000765,26
0005692117,00000765,127
0005925535,00000765,156
0005955878,00000765,136
0005978391,00000765,62
0006119617,00000765,166
0006585078,00000765,55
0006743887,00000765,79
0006771749,00000765,191
0006803646,00000765,5
0006804949,00000765,151
0006810788,00000765,60
0006914859,00000765,128
0007396036,00000765,136
0007511020,00000765,181
0007682214,00000765,184
0007800411,00000765,189
0008046482,00000765,130
0008134803,00000765,175
0008233526,00000765,110
0008365347,00000765,79
0008508794,00000765,9
0008607228,00000765,168
0008657413,00000765,56
0008740057,00000765,171
0009146573,00000765,57
0009303645,00000765,191
0009398153,00000765,2
0009490490,00000765,100
0009497962,00000765,177
0009500181,00000765,137
0009530870,00000765,132
0009645631,00000765,187
0009653254,00000765,4
0009662708,00000765,158
0009909207,00000765,178
0010018705,00000765,103
0010020921,00000765,133
0010219615,00000765,160
0010266513,00000765,53
0010295571,00000765,43
0010340439,00000765,48
0010595583,00000765,116
0010618985,00000765,5
0010985430,00000765,126
0011084937,00000765,131
0011192179,00000765,168
0011333636,00000765,129
0011763259,00000765,193
0011775021,00000765,48
0011900023,00000765,200
0011992168,00000765,121
0012060399,00000765,85
0012536385,00000765,138
0012695505,00000765,36
0012930349,00000765,174
0013051218,00000765,28
0013116624,00000765,93
0013159519,00000765,153
0013264650,00000765,147
0013589987,00000765,198
0013657389,00000765,157
0013843662,00000765,33
0013942351,00000765,196
0013947282,00000765,87
0013970105,00000765,45
0013975562,00000765,62
0014056999,00000765,43
0014367334,00000765,171
0014427346,00000765,70
0014484283,00000765,65
0014505269,00000765,70
0014537689,00000765,25
0014744901,00000765,162
0014814284,00000765,106
0014854307,00000765,163
0014938170,00000765,28
0014943984,00000765,25
0015200444,00000765,149
0015250164,00000765,150
0015295292,00000765,6
0015394434,00000765,30
0015430161,00000765,127
0015559489,00000765,169
0015711401,00000765,6
0015741360,00000765,40
0015906001,00000765,36
0015933305,00000765,115
0016073088,00000765,194
0016089971,00000765,133
0016179605,00000765,36
0016369737,00000765,99
0016459491,00000765,166
0016492643,00000765,8
0016497097,00000765,159
0016584535,00000765,198
0016648657,00000765,173
0016648774,00000765,142
0016677973,00000765,59
0016726830,00000765,1
0016824822,00000765,109
0016836215,00000765,86
0016869762,00000765,155
0016936199,00000765,57
0017069853,00000765,82
0017144710,00000765,15
0017221454,00000765,117
0017347829,00000765,25
0017366627,00000765,15
0017602958,00000765,131
0017743544,00000765,134
0017791557,00000765,176
0018012520,00000765,192
0018083600,00000765,29
0018493181,00000765,9
0018614224,00000765,53
0018634953,00000765,197
0018654714,00000765,70
0018717942,00000765,89
0018822422,00000765,51
0019036311,00000765,101
0019171339,00000765,39
0019239479,00000765,47
0019304711,00000765,69
0019361518,00000765,111
0019368684,00000765,162
0019479351,00000765,109
0019592164,00000765,33
0019633122,00000765,158
0019729470,00000765,175
0019750069,00000765,107
0019878719,00000765,117
0020028750,00000765,98
0020099569,00000765,12
0020209218,00000765,94
0020221456,00000765,89
0020314702,00000765,89
0020621895,00000765,123
0020868301,00000765,117
0021068120,00000765,148
0021135642,00000765,38
0021203203,00000765,40
0021282903,00000765,114
0021344560,00000765,82
0021633757,00000765,6
0021711230,00000765,166
0021779849,00000765,162
0021973581,00000765,192
0022048657,00000765,140
0022135387,00000765,121
0022193057,00000765,198
0022197762,00000765,20
0022415281,00000765,63
0022461805,00000765,76
0022670513,00000765,108
0022705747,00000765,36
0022743885,00000765,84
0022944950,00000765,36
0023176794,00000765,31
0023232733,00000765,12
0023367541,00000765,5
0023370723,00000765,83
0023478709,00000765,85
0023552119,00000765,129
0023718318,00000765,43
0023764444,00000765,94
0024096650,00000765,23
0024155457,00000765,57
0024253623,00000765,105
0024264917,00000765,53
0024266603,00000765,38
0024294856,00000765,3
0024327491,00000765,127
0024336424,00000765,3
0024386240,00000765,36
0024501565,00000765,2
0024620955,00000765,60
0024621862,00000765,152
0024629786,00000765,98
0024837471,00000765,183
0024873412,00000765,48
0024952752,00000765,26
0024962478,00000765,100
0024984526,00000765,114
0025253444,00000765,162
0025346630,00000765,28
0025354048,00000765,95
0025379906,00000765,48
0025419386,00000765,69
0025576894,00000765,73
0025604225,00000765,141
0025619047,00000765,137
0025620156,00000765,173
0025735370,00000765,127
0025838613,00000765,86
0025926201,00000765,172
0026018698,00000765,12
0026197206,00000765,184
0026356551,00000765,22
0026417033,00000765,33
0026629550,00000765,172
0026677158,00000765,107
0026775693,00000765,91
0027158665,00000765,46
0027166648,00000765,184
0027273373,00000765,200
0027459209,00000765,79
0027466039,00000765,184
0027506280,00000765,72
0027590660,00000765,145
0027683636,00000765,182
0027783973,00000765,141
0027851448,00000765,96
0027904328,00000765,146
0027939540,00000765,190
0028093933,00000765,128
0028177132,00000765,199
0028223227,00000765,200
0028256327,00000765,27
0028409217,00000765,142
0028479665,00000765,6
0028784223,00000765,47
0028863379,00000765,197
0028901443,00000765,28
0029280181,00000765,90
0029350946,00000765,5
0029535121,00000765,156
0029571383,00000765,13
0029856933,00000765,22
0029865021,00000765,72
0029894372,00000765,169
0029945570,00000765,1
0030039965,00000765,134
0030138852,00000765,169
0030663589,00000765,23
0031006224,00000765,12
0031054689,00000765,66
0031080062,00000765,115
0031118425,00000765,152
0031204017,00000765,119
0031231326,00000765,72
0031308500,00000765,10
0031322522,00000765,194
0031329490,00000765,186
0031330826,00000765,53
0031376879,00000765,41
0031610401,00000765,61
0031679974,00000765,161
0031772568,00000765,196
0031923946,00000765,127
0031997186,00000765,7
0032000812,00000765,18
0032110528,00000765,9
0032347654,00000765,166
0032432137,00000765,118
0032546661,00000765,168
0032614471,00000765,145
0032908463,00000765,35
0033267024,00000765,165
0033480991,00000765,86
0033690115,00000765,34
0033785304,00000765,123
0033811274,00000765,147
0034001826,00000765,172
0034505294,00000765,30
0034769645,00000765,73
0034886772,00000765,189
0035017510,00000765,112
0035019220,00000765,71
0035340916,00000765,112
0035526972,00000765,105
0035542058,00000765,113
0035597066,00000765,187
0035663377,00000765,59
0036211902,00000765,2
0036250110,00000765,23
0036257054,00000765,164
0036324196,00000765,64
0036439208,00000765,94
0036462024,00000765,61
0036532782,00000765,118
0036624062,00000765,89
0036724452,00000765,42
0036876825,00000765,37
0036961530,00000765,179
0037000524,00000765,93
0037576608,00000765,51
0037584617,00000765,124
0037595490,00000765,68
0037702028,00000765,37
0037764373,00000765,139
0037825841,00000765,164
0037998407,00000765,116
0038017809,00000765,139
0038021396,00000765,80
0038132897,00000765,36
0038340737,00000765,67
0038404257,00000765,198
0038422427,00000765,170
0038445703,00000765,19
0038550907,00000765,107
0038558690,00000765,89
0038829603,00000765,187
0038885701,00000765,117
0038998162,00000765,45
0039005596,00000765,83
0039083078,00000765,91
0039179969,00000765,23
0039325170,00000765,85
0039328272,00000765,91
0039508117,00000765,69
0039683094,00000765,68
0039797980,00000765,188
0039835251,00000765,39
0039969520,00000765,175
0040074450,00000765,47
0040080776,00000765,181
0040326466,00000765,38
0040356745,00000765,135
0040374626,00000765,100
0040425172,00000765,30
0040567338,00000765,192
0040628939,00000765,40
0040718359,00000765,156
0040740744,00000765,6
0040838030,00000765,175
0040866704,00000765,188
0040873777,00000765,196
0040886397,00000765,46
0041001907,00000765,94
0041146408,00000765,118
0041154952,00000765,47
0041333415,00000765,190
0041464216,00000765,1
0041520954,00000765,126
0041522019,00000765,87
0041609409,00000765,100
0041755022,00000765,169
0041786096,00000765,177
0041861620,00000765,125
0041943215,00000765,7
0041957226,00000765,98
0041973591,00000765,181
0042070766,00000765,68
0042125447,00000765,166
0042403276,00000765,131
0042641438,00000765,66
0042770431,00000765,151
0042849672,00000765,187
0042895686,00000765,55
0042922599,00000765,15
0042927777,00000765,37
0042942242,00000765,63
0042948973,00000765,72
0042995275,00000765,9
0043112538,00000765,156
0043201137,00000765,80
0043437718,00000765,17
0043758546,00000765,75
0043771169,00000765,32
0043835978,00000765,53
0043858496,00000765,150
0043866587,00000765,1
0044075152,00000765,45
0044081524,00000765,106
0044138912,00000765,31
0044290434,00000765,67
0044411921,00000765,162
0044662694,00000765,152
0045032562,00000765,113
0045055826,00000765,61
0045404463,00000765,159
0045423191,00000765,141
0045477167,00000765,199
0045613287,00000765,140
0045666597,00000765,71
0045926811,00000765,100
0046019667,00000765,66
0046116021,00000765,3
0046155029,00000765,42
0046232215,00000765,158
0046306844,00000765,174
0046336414,00000765,80
0046355166,00000765,39
0046373198,00000765,102
0046432592,00000765,99
0046529693,00000765,84
0046543640,00000765,14
0046550804,00000765,181
0046748681,00000765,38
0046859717,00000765,191
0047276861,00000765,178
0047381997,00000765,42
0047420870,00000765,57
0047637383,00000765,62
0047651966,00000765,68
0047810849,00000765,176
0047852245,00000765,110
0047899544,00000765,120
0048057571,00000765,19
0048080505,00000765,26
0048199244,00000765,195
0048559750,00000765,42
0048627544,00000765,184
0048903336,00000765,152
0048920943,00000765,138
0048951243,00000765,90
0048986620,00000765,198
0049016031,00000765,75
0049266386,00000765,82
0049521432,00000765,17
0049551457,00000765,18
0049681729,00000765,32
0049718186,00000765,57
0049764038,00000765,181
0050101395,00000765,171
0050269934,00000765,20
0050296579,00000765,187
0050297318,00000765,119
0050478406,00000765,135
0050529840,00000765,96
0050742967,00000765,12
0050827799,00000765,197
0050889770,00000765,188
0051013523,00000765,138
0051159770,00000765,35
0051323880,00000765,62
0051389988,00000765,116
0051407560,00000765,140
0051515767,00000765,183
0051617185,00000765,31
0051694821,00000765,73
0051714283,00000765,172
0051838562,00000765,119
0052227772,00000765,178
0052291421,00000765,80
0052304302,00000765,186
0052375575,00000765,70
0052520061,00000765,2
0052539724,00000765,196
0052634703,00000765,130
0052695152,00000765,145
0052717692,00000765,37
0052948490,00000765,196
0053038107,00000765,46
0053043389,00000765,94
0053177861,00000765,166
0053408535,00000765,181
0053478188,00000765,7
0053501084,00000765,107
0053508619,00000765,186
0053522205,00000765,145
0053593509,00000765,200
0053609847,00000765,184
0053622424,00000765,193
0053982215,00000765,110
0054010439,00000765,198
0054111971,00000765,172
0054175056,00000765,84
0054177391,00000765,152
0054374628,00000765,44
0054438501,00000765,20
0054495047,00000765,63
0054516275,00000765,197
0054625122,00000765,130
0054713540,00000765,121
0054835534,00000765,163
0054916220,00000765,136
0054926187,00000765,61
0054986560,00000765,117
0054993284,00000765,19
0055061132,00000765,117
0055191224,00000765,33
0055288862,00000765,175
0055306486,00000765,74
0055359195,00000765,30
0055522008,00000765,72
0055615139,00000765,10
0055661307,00000765,42
0055826447,00000765,177
0056134291,00000765,7
0056252335,00000765,49
0056318589,00000765,189
0056496252,00000765,185
0056537170,00000765,69
0056621933,00000765,102
0056673192,00000765,3
0056676196,00000765,62
0056677458,00000765,133
0056873934,00000765,15
0056932758,00000765,54
0056960018,00000765,162
0056963545,00000765,31
0056963858,00000765,148
0057038414,00000765,93
0057126050,00000765,61
0057146093,00000765,131
0057154905,00000765,90
0057160877,00000765,15
0057288214,00000765,88
0057383651,00000765,123
0057426349,00000765,190
0057434631,00000765,114
0057514310,00000765,46
0057704773,00000765,99
0057734113,00000765,176
0057734781,00000765,86
0057757278,00000765,68
0057900014,00000765,88
0057929835,00000765,76
0058035060,00000765,116
0058114872,00000765,134
0058148103,00000765,127
0058187596,00000765,13
0058297358,00000765,143
0058317395,00000765,174
0058383610,00000765,62
0058383871,00000765,121
0058526186,00000765,88
0058535743,00000765,171
0058558097,00000765,184
0058672549,00000765,1
0058707888,00000765,175
0058732744,00000765,11
0058792011,00000765,199
0059059909,00000765,152
0059112346,00000765,96
0059260756,00000765,7
0059287565,00000765,151
0059353862,00000765,157
0059542824,00000765,21
0059591163,00000765,117
0059763305,00000765,98
0059776824,00000765,34
0059873974,00000765,162
0059877430,00000765,71
0059927456,00000765,120
0060139445,00000765,29
0060166109,00000765,23
0060194567,00000765,144
0060213879,00000765,168
0060661836,00000765,190
0060857582,00000765,183
0060979779,00000765,101
0061003944,00000765,23
0061005400,00000765,88
0061099229,00000765,179
0061113956,00000765,85
0061185810,00000765,69
0061452024,00000765,77
0061457068,00000765,188
0061648660,00000765,193
0061683915,00000765,166
0061801599,00000765,126
0061889916,00000765,98
0061923956,00000765,170
0062087211,00000765,96
0062515965,00000765,19
0062516598,00000765,18
0062908060,00000765,27
0063053654,00000765,84
0063183240,00000765,121
0063258012,00000765,47
0063285701,00000765,107
0063380863,00000765,131
0063418107,00000765,168
0063513327,00000765,174
0063592827,00000765,128
0063595060,00000765,17
0063678409,00000765,61
0063687476,00000765,33
0064080019,00000765,131
0064370028,00000765,187
0064837688,00000765,36
0065097656,00000765,186
0065267883,00000765,192
0065282032,00000765,91
0065357006,00000765,199
0065371236,00000765,86
0065643386,00000765,13
0065680807,00000765,79
0065699294,00000765,188
0065701085,00000765,55
0065746600,00000765,67
0065772884,00000765,10
0065941960,00000765,4
0066129188,00000765,53
0066151966,00000765,132
0066187049,00000765,104
0066348372,00000765,92
0066456213,00000765,31
0066586335,00000765,5
0066809392,00000765,69
0066847477,00000765,113
0066967137,00000765,160
0067001588,00000765,159
0067016900,00000765,73
0067083922,00000765,81
0067164382,00000765,168
0067207114,00000765,70
0067327949,00000765,53
0067606656,00000765,41
0067740995,00000765,11
0067838426,00000765,107
0067903023,00000765,84
0067956399,00000765,170
0068062450,00000765,61
0068112909,00000765,148
0068252248,00000765,24
0068307825,00000765,163
0068478154,00000765,119
0068672928,00000765,19
0068693930,00000765,65
0068698099,00000765,29
0068924078,00000765,161
0069025752,00000765,167
0069151710,00000765,144
0069156037,00000765,196
0069166930,00000765,109
0069308647,00000765,47
0069474146,00000765,34
0069937838,00000765,56
0070160321,00000765,120
0070505123,00000765,130
0070652672,00000765,139
0070792370,00000765,111
0070896096,00000765,135
0071187417,00000765,29
0071212477,00000765,62
0071271987,00000765,99
0071464284,00000765,10
0071496461,00000765,30
0071501270,00000765,25
0071679778,00000765,15
0071685784,00000765,74
0071688788,00000765,104
0071758989,00000765,79
0071810056,00000765,4
0071848097,00000765,164
0071915530,00000765,139
0072199455,00000765,39
0072238113,00000765,62
0072241982,00000765,129
0072249108,00000765,19
0072418240,00000765,62
0072569517,00000765,21
0072612125,00000765,142
0072663756,00000765,74
0072920004,00000765,153
0072988530,00000765,194
0073183448,00000765,146
0073199702,00000765,106
0073200917,00000765,185
0073316470,00000765,30
0073405476,00000765,44
0073561813,00000765,189
0073760069,00000765,91
0073761496,00000765,63
0073907282,00000765,142
0073944816,00000765,160
0074136807,00000765,96
0074496827,00000765,7
0074515350,00000765,48
0074607258,00000765,173
0074733645,00000765,88
0074798868,00000765,147
0074982317,00000765,184
0075107676,00000765,95
0075392358,00000765,188
0075434512,00000765,183
0075492172,00000765,6
0075566506,00000765,6
0075676992,00000765,61
0075705918,00000765,182
0075715750,00000765,195
0075754990,00000765,198
0075855462,00000765,182
0075887320,00000765,121
0075956838,00000765,160
0076036882,00000765,17
0076239399,00000765,141
0076338004,00000765,183
0076357080,00000765,146
0076491915,00000765,111
0076635942,00000765,86
0076671135,00000765,87
0076814971,00000765,74
0077225676,00000765,161
0077434860,00000765,195
0077439745,00000765,177
0077632339,00000765,57
0078101505,00000765,61
0078125997,00000765,173
0078231065,00000765,171
0078243512,00000765,65
0078392934,00000765,1
0078535222,00000765,194
0078565207,00000765,123
0078589509,00000765,38
0078633246,00000765,35
0078679060,00000765,17
0078695678,00000765,61
0078704558,00000765,124
0078713927,00000765,132
0078742292,00000765,170
0078793787,00000765,44
0078873892,00000765,158
0078875115,00000765,194
0078949819,00000765,96
0078951861,00000765,147
0078957949,00000765,28
0079032664,00000765,128
0079151846,00000765,175
0079272055,00000765,54
0079319774,00000765,191
0079588804,00000765,57
0079654148,00000765,186
0079654970,00000765,60
0079683225,00000765,59
0079869788,00000765,128
0080035016,00000765,36
0080076178,00000765,64
0080087775,00000765,14
0080091716,00000765,70
0080109579,00000765,165
0080162283,00000765,84
0080181020,00000765,50
0080429580,00000765,55
0080432683,00000765,176
0080567852,00000765,174
0080618813,00000765,86
0080700898,00000765,83
0080781354,00000765,107
0080885057,00000765,58
0080985995,00000765,143
0081064846,00000765,44
0081119279,00000765,12
0081193910,00000765,176
0081269435,00000765,145
0081289694,00000765,14
0081563341,00000765,84
0081566238,00000765,21
0081987985,00000765,134
0082151723,00000765,193
0082181756,00000765,154
0082185662,00000765,3
0082347152,00000765,177
0082481932,00000765,14
0082485905,00000765,66
0082597024,00000765,182
0082638619,00000765,180
0082655035,00000765,173
0082744230,00000765,95
0082840410,00000765,25
0082922028,00000765,45
0082939165,00000765,108
0083033907,00000765,136
0083105688,00000765,94
0083182710,00000765,62
0083257014,00000765,56
0083336016,00000765,96
0083352566,00000765,2
0083397982,00000765,167
0083398521,00000765,2
0083460852,00000765,191
0083591649,00000765,71
0083625525,00000765,22
0083640514,00000765,189
0083701209,00000765,178
0083756156,00000765,78
0083758495,00000765,27
0083848555,00000765,53
0083896386,00000765,78
0083905862,00000765,139
0084043492,00000765,15
0084059725,00000765,158
0084122201,00000765,65
0084175488,00000765,95
0084288452,00000765,77
0084288612,00000765,3
0084445357,00000765,29
0084475442,00000765,151
0084909827,00000765,76
0084957842,00000765,145
0085369940,00000765,1
0085557586,00000765,195
0085578602,00000765,73
0085664455,00000765,172
0085801143,00000765,71
0085873786,00000765,54
0086034634,00000765,148
0086231837,00000765,134
0086356737,00000765,38
0086533188,00000765,87
0086558800,00000765,1
0086836564,00000765,165
0086930441,00000765,65
0086953414,00000765,137
0087191081,00000765,40
0087206435,00000765,16
0087246589,00000765,120
0087338718,00000765,27
0087391486,00000765,132
0087582655,00000765,194
0087592194,00000765,37
0087600095,00000765,160
0087677109,00000765,70
0087820636,00000765,65
0087904663,00000765,39
0087996855,00000765,76
0088234180,00000765,72
0088257558,00000765,2
0088305510,00000765,7
0088351646,00000765,118
0088388104,00000765,162
0088542707,00000765,190
0088574816,00000765,61
0088596261,00000765,9
0088633991,00000765,196
0088645353,00000765,40
0088884371,00000765,200
0088895060,00000765,9
0088929552,00000765,20
0088934363,00000765,122
0088974248,00000765,67
0089056730,00000765,11
0089474026,00000765,76
0089697658,00000765,1
0089772885,00000765,146
0090136530,00000765,80
0090153762,00000765,188
0090252044,00000765,100
0090277303,00000765,52
0090301560,00000765,105
0090311579,00000765,117
0090411278,00000765,164
0090424421,00000765,184
0090500851,00000765,39
0090525679,00000765,108
0090675563,00000765,94
0090789963,00000765,25
0090841031,00000765,185
